,VSI_Motor_Speed_RR,VSI_Motor_Speed_RL,VSI_Motor_Speed_FR,VSI_Motor_Speed_FL,VSI_TrqFeedback_RR,VSI_TrqFeedback_RL,VSI_TrqFeedback_FR,VSI_TrqFeedback_FL,MISC_Pos_Trq_Limit_RR,MISC_Pos_Trq_Limit_RL,MISC_Pos_Trq_Limit_FR,MISC_Pos_Trq_Limit_FL,MISC_Neg_Trq_Limit_RR,MISC_Neg_Trq_Limit_RL,MISC_Neg_Trq_Limit_FR,MISC_Neg_Trq_Limit_FL
140.02,9428.0,8117.0,7170.0,8290.0,11.51304,10.73688,10.9956,10.60752,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
140.03,9433.0,8229.0,7168.0,8432.0,10.73688,11.12496,10.9956,11.51304,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
140.04,9428.0,8153.0,7174.0,8282.0,10.73688,10.60752,10.73688,10.3488,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
140.05,9478.0,8201.0,7186.0,8418.0,11.25432,10.86624,10.9956,10.9956,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
140.06,9434.0,8184.0,7171.0,8292.0,11.25432,11.12496,10.60752,10.3488,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
140.07,9458.0,8185.0,7187.0,8417.0,11.51304,10.73688,10.9956,11.25432,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
140.08,9425.0,8220.0,7179.0,8292.0,10.86624,11.38368,10.86624,10.60752,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
140.09,9440.0,8144.0,7178.0,8425.0,11.12496,10.47816,11.12496,11.38368,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
140.1,9426.0,8251.0,7191.0,8346.0,10.73688,11.38368,10.9956,10.9956,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
140.11,9450.0,8105.0,7190.0,8353.0,10.9956,10.21944,11.12496,11.12496,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
140.12,9453.0,8249.0,7198.0,8425.0,11.51304,11.51304,10.86624,11.25432,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
140.13,9435.0,8169.0,7185.0,8290.0,11.51304,10.73688,10.86624,10.73688,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
140.14,9447.0,8202.0,7176.0,8472.0,11.12496,11.25432,10.86624,11.6424,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
140.15,9484.0,8196.0,7182.0,8260.0,11.38368,10.9956,11.38368,10.3488,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
140.16,9455.0,8208.0,7177.0,8495.0,10.86624,11.12496,10.9956,11.77176,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
140.17,9401.0,8205.0,7194.0,8265.0,10.47816,10.86624,10.9956,10.21944,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
140.18,9453.0,8181.0,7183.0,8484.0,11.25432,11.25432,11.12496,11.51304,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
140.19,9469.0,8262.0,7177.0,8323.0,10.86624,10.73688,11.12496,10.47816,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
140.2,9452.0,8122.0,7189.0,8431.0,11.38368,11.12496,11.25432,10.9956,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
140.21,9449.0,8267.0,7189.0,8385.0,11.51304,11.38368,11.25432,10.86624,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
140.22,9487.0,8157.0,7198.0,8395.0,11.6424,10.9956,11.12496,10.9956,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
140.23,9426.0,8233.0,7193.0,8453.0,11.12496,11.12496,11.25432,10.9956,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
140.24,9469.0,8192.0,7197.0,8330.0,11.12496,11.25432,11.38368,10.47816,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
140.25,9466.0,8220.0,7176.0,8495.0,11.38368,10.47816,11.12496,11.12496,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
140.26,9436.0,8208.0,7180.0,8303.0,11.25432,11.25432,10.9956,10.3488,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
140.27,9433.0,8185.0,7188.0,8507.0,10.3488,10.73688,11.51304,11.51304,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
140.28,9493.0,8261.0,7204.0,8343.0,10.73688,11.25432,11.38368,10.47816,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
140.29,9459.0,8126.0,7188.0,8469.0,10.3488,10.21944,11.51304,10.9956,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
140.3,9474.0,8278.0,7201.0,8362.0,10.60752,11.77176,11.25432,10.60752,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
140.31,9457.0,8143.0,7203.0,8462.0,10.60752,10.09008,11.25432,11.25432,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
140.32,9504.0,8242.0,7201.0,8379.0,10.3488,11.38368,11.25432,10.9956,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
140.33,9450.0,8190.0,7204.0,8453.0,10.3488,10.73688,11.51304,11.38368,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
140.34,9447.0,8223.0,7210.0,8419.0,10.60752,10.86624,11.25432,11.12496,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
140.35,9448.0,8211.0,7201.0,8421.0,11.12496,10.86624,10.9956,10.9956,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
140.36,9479.0,8211.0,7203.0,8409.0,10.47816,11.12496,11.12496,11.25432,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
